RIDE_ID,driver_id,created_date_local,driver_rating,distance_travelled,total_fare,hour_of_day,day_of_week,hour_block,year,month
1082028,2804,2017-03-03 00:00:13-06:00,5.0,1710.0,6.06,0,Friday,0-3,2017,3
1082049,3775,2017-03-03 00:04:18-06:00,5.0,7013.0,10.58,0,Friday,0-3,2017,3
1082092,3906,2017-03-03 00:03:42-06:00,5.0,3600.0,15.36,0,Friday,0-3,2017,3
1082103,3302,2017-03-03 00:09:14-06:00,3.0,4750.0,9.05,0,Friday,0-3,2017,3
1082116,4008,2017-03-03 00:06:55-06:00,4.0,7167.0,10.96,0,Friday,0-3,2017,3
1082124,2804,2017-03-03 00:14:37-06:00,5.0,1115.0,6.06,0,Friday,0-3,2017,3
1082131,2183,2017-03-03 00:10:11-06:00,5.0,11082.0,13.2,0,Friday,0-3,2017,3
1082186,3735,2017-03-03 00:21:03-06:00,5.0,3854.0,7.98,0,Friday,0-3,2017,3
1082189,4137,2017-03-03 00:17:03-06:00,5.0,20882.0,22.36,0,Friday,0-3,2017,3
1082214,3302,2017-03-03 00:26:11-06:00,5.0,2813.0,6.75,0,Friday,0-3,2017,3
1082216,3775,2017-03-03 00:28:31-06:00,5.0,6101.0,11.98,0,Friday,0-3,2017,3
1082218,3818,2017-03-03 00:29:20-06:00,5.0,2393.0,6.81,0,Friday,0-3,2017,3
1082221,3906,2017-03-03 00:25:06-06:00,5.0,3057.0,7.25,0,Friday,0-3,2017,3
1082226,1078,2017-03-03 00:30:07-06:00,5.0,29067.0,26.7,0,Friday,0-3,2017,3
1082232,4008,2017-03-03 00:31:03-06:00,4.0,9134.0,12.22,0,Friday,0-3,2017,3
1082246,2996,2017-03-03 00:31:54-06:00,5.0,4317.0,8.64,0,Friday,0-3,2017,3
1082255,3735,2017-03-03 00:33:01-06:00,5.0,3185.0,7.55,0,Friday,0-3,2017,3
1082317,3818,2017-03-03 00:43:52-06:00,5.0,2104.0,6.08,0,Friday,0-3,2017,3
1082320,3906,2017-03-03 00:40:45-06:00,5.0,675.0,6.06,0,Friday,0-3,2017,3
1082325,2804,2017-03-03 00:46:14-06:00,5.0,17697.0,18.24,0,Friday,0-3,2017,3
1082331,3302,2017-03-03 00:44:16-06:00,5.0,1755.0,6.06,0,Friday,0-3,2017,3
1082364,2996,2017-03-03 00:46:48-06:00,5.0,730.0,6.06,0,Friday,0-3,2017,3
1082407,3283,2017-03-03 00:55:50-06:00,5.0,4033.0,7.64,0,Friday,0-3,2017,3
1082409,3775,2017-03-03 00:54:11-06:00,5.0,849.0,6.06,0,Friday,0-3,2017,3
1082420,3735,2017-03-03 00:57:04-06:00,5.0,3334.0,7.51,0,Friday,0-3,2017,3
1082421,3818,2017-03-03 00:59:01-06:00,4.0,2453.0,6.36,0,Friday,0-3,2017,3
1082429,3302,2017-03-03 00:59:47-06:00,5.0,2643.0,7.09,0,Friday,0-3,2017,3
1082444,3775,2017-03-03 01:02:53-06:00,5.0,3187.0,7.88,1,Friday,0-3,2017,3
1082446,2996,2017-03-03 01:01:18-06:00,5.0,2324.0,6.4,1,Friday,0-3,2017,3
1082449,3906,2017-03-03 01:02:23-06:00,5.0,137.0,6.06,1,Friday,0-3,2017,3
1082471,1078,2017-03-03 00:58:14-06:00,5.0,1361.0,6.06,0,Friday,0-3,2017,3
1082493,3906,2017-03-03 01:09:45-06:00,5.0,3906.0,10.72,1,Friday,0-3,2017,3
1082494,3818,2017-03-03 01:07:56-06:00,5.0,2785.0,8.27,1,Friday,0-3,2017,3
1082508,3302,2017-03-03 01:10:06-06:00,5.0,5063.0,10.59,1,Friday,0-3,2017,3
1082527,4137,2017-03-03 01:05:52-06:00,5.0,3921.0,8.33,1,Friday,0-3,2017,3
1082528,2996,2017-03-03 01:13:41-06:00,5.0,3588.0,7.28,1,Friday,0-3,2017,3
1082532,3735,2017-03-03 01:11:18-06:00,5.0,2747.0,6.91,1,Friday,0-3,2017,3
1082591,3302,2017-03-03 01:23:26-06:00,5.0,6672.0,11.36,1,Friday,0-3,2017,3
1082592,1078,2017-03-03 01:23:55-06:00,5.0,5828.0,13.39,1,Friday,0-3,2017,3
1082598,2996,2017-03-03 01:24:15-06:00,5.0,4590.0,7.7,1,Friday,0-3,2017,3
1082600,3735,2017-03-03 01:24:59-06:00,5.0,3082.0,9.44,1,Friday,0-3,2017,3
1082603,3818,2017-03-03 01:25:16-06:00,4.0,4560.0,9.81,1,Friday,0-3,2017,3
1082627,4137,2017-03-03 01:28:14-06:00,3.0,3840.0,14.52,1,Friday,0-3,2017,3
1082648,3735,2017-03-03 01:33:02-06:00,,974.0,6.06,1,Friday,0-3,2017,3
1082667,2996,2017-03-03 01:35:44-06:00,5.0,14196.0,15.0,1,Friday,0-3,2017,3
1082668,3906,2017-03-03 01:35:02-06:00,5.0,3566.0,10.69,1,Friday,0-3,2017,3
1082724,3818,2017-03-03 01:43:33-06:00,5.0,2789.0,9.33,1,Friday,0-3,2017,3
1082730,2804,2017-03-03 01:45:46-06:00,5.0,5072.0,12.38,1,Friday,0-3,2017,3
